UDI,Product ID,Type,air_temp,process_temp,rotation_speed,torque,tool_wear,failure,TWF,HDF,PWF,OSF,RNF,machine_id,timestamp,air_temp_lag_1,process_temp_lag_1,rotation_speed_lag_1,torque_lag_1,tool_wear_lag_1,air_temp_lag_2,process_temp_lag_2,rotation_speed_lag_2,torque_lag_2,tool_wear_lag_2,air_temp_roll_mean_3,rotation_speed_roll_std_3
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,M01,2025-01-01 14:00:00,298.6,309.2,1742.0,30.0,37.0,298.6,309.1,1339.0,51.1,34.0,298.6,349.4457516315421
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,M01,2025-01-01 15:00:00,298.6,309.2,2035.0,19.6,40.0,298.6,309.2,1742.0,30.0,37.0,298.6,247.95765767566064
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,M01,2025-01-01 16:00:00,298.6,309.2,1542.0,48.4,42.0,298.6,309.2,2035.0,19.6,40.0,298.6,369.8166212237268
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,M01,2025-01-01 17:00:00,298.6,309.2,1311.0,46.6,44.0,298.6,309.2,1542.0,48.4,42.0,298.6333333333334,115.89219128138045
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,M01,2025-01-01 18:00:00,298.7,309.2,1410.0,45.6,47.0,298.6,309.2,1311.0,46.6,44.0,298.7,58.654354768707535
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,M01,2025-01-01 19:00:00,298.8,309.2,1306.0,54.5,50.0,298.7,309.2,1410.0,45.6,47.0,298.8,166.52126991268537
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,M01,2025-01-01 20:00:00,298.9,309.3,1632.0,32.5,55.0,298.8,309.2,1306.0,54.5,50.0,298.8666666666667,171.79736125253328
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,M01,2025-01-01 21:00:00,298.9,309.3,1375.0,42.7,58.0,298.9,309.3,1632.0,32.5,55.0,298.8666666666666,132.16025625479628
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,M01,2025-01-01 22:00:00,298.8,309.3,1450.0,44.8,63.0,298.9,309.3,1375.0,42.7,58.0,298.8666666666666,104.26089071810875
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,M01,2025-01-01 23:00:00,298.9,309.3,1581.0,30.7,65.0,298.8,309.3,1450.0,44.8,63.0,298.90000000000003,154.57145057653247
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,M01,2025-01-02 00:00:00,299.0,309.4,1758.0,25.7,68.0,298.9,309.3,1581.0,30.7,65.0,298.9666666666667,108.4266264961399
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,M01,2025-01-02 01:00:00,299.0,309.4,1561.0,37.3,70.0,299.0,309.4,1758.0,25.7,68.0,299.0,152.43468546670545
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,M01,2025-01-02 02:00:00,299.0,309.5,1861.0,23.3,73.0,299.0,309.4,1561.0,37.3,70.0,299.0333333333333,188.94531836839312
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,M01,2025-01-02 03:00:00,299.1,309.5,1512.0,39.0,75.0,299.0,309.5,1861.0,23.3,73.0,299.06666666666666,188.72466717416694
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,M01,2025-01-02 04:00:00,299.1,309.4,1811.0,24.6,77.0,299.1,309.5,1512.0,39.0,75.0,299.1,197.109952395442
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,M01,2025-01-02 05:00:00,299.1,309.4,1439.0,44.2,82.0,299.1,309.4,1811.0,24.6,77.0,299.06666666666666,190.0982202266329
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,M01,2025-01-02 06:00:00,299.0,309.4,1693.0,30.1,84.0,299.1,309.4,1439.0,44.2,82.0,299.06666666666666,182.49748856719486
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,M01,2025-01-02 07:00:00,299.1,309.5,1339.0,48.2,86.0,299.0,309.4,1693.0,30.1,84.0,299.03333333333336,240.49324314832648
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,M01,2025-01-02 08:00:00,299.0,309.4,1798.0,25.5,89.0,299.1,309.5,1339.0,48.2,86.0,299.03333333333336,245.19448063391116
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,M01,2025-01-02 09:00:00,299.0,309.4,1419.0,48.3,91.0,299.0,309.4,1798.0,25.5,89.0,298.96666666666664,192.28711171925545
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,M01,2025-01-02 10:00:00,298.9,309.3,1665.0,32.5,93.0,299.0,309.4,1419.0,48.3,91.0,298.9,123.39097751996866
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,M01,2025-01-02 11:00:00,298.8,309.1,1559.0,34.7,95.0,298.9,309.3,1665.0,32.5,93.0,298.8333333333333,106.50039123558848
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,M01,2025-01-02 12:00:00,298.8,309.2,1452.0,48.6,98.0,298.8,309.1,1559.0,34.7,95.0,298.8333333333333,69.00966115938705
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,M01,2025-01-02 13:00:00,298.9,309.2,1581.0,36.7,101.0,298.8,309.2,1452.0,48.6,98.0,298.8333333333333,78.5005307837687
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,M01,2025-01-02 14:00:00,298.8,309.1,1439.0,39.2,104.0,298.9,309.2,1581.0,36.7,101.0,298.8666666666667,103.73684655576055
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,M01,2025-01-02 15:00:00,298.9,309.2,1379.0,50.7,106.0,298.8,309.1,1439.0,39.2,104.0,298.8333333333333,45.39089482851602
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,M01,2025-01-02 16:00:00,298.8,309.1,1350.0,52.5,111.0,298.9,309.2,1379.0,50.7,106.0,298.8333333333333,14.571661996265195
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,M01,2025-01-02 17:00:00,298.8,309.1,1362.0,45.4,113.0,298.8,309.1,1350.0,52.5,111.0,298.8,9.16515138991533
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,M01,2025-01-02 18:00:00,298.8,309.1,1368.0,50.8,115.0,298.8,309.1,1362.0,45.4,113.0,298.8,3.4641016151474116
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,M01,2025-01-02 19:00:00,298.8,309.1,1368.0,49.1,117.0,298.8,309.1,1368.0,50.8,115.0,298.8,2.309401076773021
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,M01,2025-01-02 20:00:00,298.8,309.2,1372.0,48.5,120.0,298.8,309.1,1368.0,49.1,117.0,298.8,58.923679450625514
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,M01,2025-01-02 21:00:00,298.8,309.1,1472.0,47.5,125.0,298.8,309.2,1372.0,48.5,120.0,298.8,63.21655901212437
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,M01,2025-01-02 22:00:00,298.8,309.1,1489.0,49.1,128.0,298.8,309.1,1472.0,47.5,125.0,298.7666666666667,209.46200928410246
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,M01,2025-01-02 23:00:00,298.7,309.0,1843.0,25.8,130.0,298.8,309.1,1489.0,49.1,128.0,298.76666666666665,227.6627622896055
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,M01,2025-01-03 00:00:00,298.8,309.1,1418.0,46.3,133.0,298.7,309.0,1843.0,25.8,130.0,298.7666666666667,243.37830634631362
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,M01,2025-01-03 01:00:00,298.8,309.2,1425.0,53.9,135.0,298.8,309.1,1418.0,46.3,133.0,298.8333333333333,6.506407098654393
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,M01,2025-01-03 02:00:00,298.9,309.2,1412.0,44.1,140.0,298.8,309.2,1425.0,53.9,135.0,298.8666666666667,832.8531283085473
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,M01,2025-01-03 03:00:00,298.9,309.1,2861.0,4.6,143.0,298.9,309.2,1412.0,44.1,140.0,298.9,845.07652513446
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,M01,2025-01-03 04:00:00,298.9,309.1,1383.0,54.9,145.0,298.9,309.1,2861.0,4.6,143.0,298.8666666666666,822.39244484208
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,M01,2025-01-03 05:00:00,298.8,309.0,1497.0,43.8,147.0,298.9,309.1,1383.0,54.9,145.0,298.8,91.96376097862505
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,M01,2025-01-03 06:00:00,298.7,309.0,1565.0,35.1,152.0,298.8,309.0,1497.0,43.8,147.0,298.73333333333335,98.43441132720649
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,M01,2025-01-03 07:00:00,298.7,309.0,1691.0,30.1,154.0,298.7,309.0,1565.0,35.1,152.0,298.73333333333335,91.94744875924333
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,M01,2025-01-03 08:00:00,298.8,309.1,1512.0,40.7,156.0,298.7,309.0,1691.0,30.1,154.0,298.76666666666665,114.79111463872256
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,M01,2025-01-03 09:00:00,298.8,309.1,1477.0,42.4,158.0,298.8,309.1,1512.0,40.7,156.0,298.8,20.50203241958412
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,M01,2025-01-03 10:00:00,298.8,309.1,1513.0,40.3,160.0,298.8,309.1,1477.0,42.4,158.0,298.8,97.51581068387672
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,M01,2025-01-03 11:00:00,298.8,309.0,1661.0,29.5,162.0,298.8,309.1,1513.0,40.3,160.0,298.8,141.54975568093957
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,M01,2025-01-03 12:00:00,298.8,309.1,1378.0,54.4,165.0,298.8,309.0,1661.0,29.5,162.0,298.8,159.23672105809538
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,M01,2025-01-03 13:00:00,298.8,309.1,1393.0,52.6,167.0,298.8,309.1,1378.0,54.4,165.0,298.8,119.45850046494672
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,M01,2025-01-03 14:00:00,298.8,309.0,1592.0,38.2,169.0,298.8,309.1,1393.0,52.6,167.0,298.8,218.2758193967753
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,M01,2025-01-03 15:00:00,298.8,309.0,1829.0,22.9,172.0,298.8,309.0,1592.0,38.2,169.0,298.8333333333333,132.1980836976605
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,M01,2025-01-03 16:00:00,298.9,309.0,1812.0,25.9,174.0,298.8,309.0,1829.0,22.9,172.0,298.90000000000003,171.97189692892746
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,M01,2025-01-03 17:00:00,299.0,309.1,1523.0,38.6,177.0,298.9,309.0,1812.0,25.9,174.0,298.9666666666667,214.0428306048433
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,M01,2025-01-03 18:00:00,299.0,309.1,1394.0,45.1,179.0,299.0,309.1,1523.0,38.6,177.0,298.96666666666664,142.71299870719656
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,M01,2025-01-03 19:00:00,298.9,308.9,1679.0,28.7,181.0,299.0,309.1,1394.0,45.1,179.0,298.9,148.19919028118974
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,M01,2025-01-03 20:00:00,298.8,308.9,1466.0,44.1,184.0,298.9,308.9,1679.0,28.7,181.0,298.8333333333333,109.69199302288939
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,M01,2025-01-03 21:00:00,298.8,308.9,1527.0,32.4,189.0,298.8,308.9,1466.0,44.1,184.0,298.8333333333333,58.51780355869155
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,M01,2025-01-03 22:00:00,298.9,309.0,1410.0,65.7,191.0,298.8,308.9,1527.0,32.4,189.0,298.8666666666666,269.4110861366578
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,M01,2025-01-03 23:00:00,298.9,309.0,1924.0,22.6,193.0,298.9,309.0,1410.0,65.7,191.0,298.9,285.4073112821983
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,M01,2025-01-04 00:00:00,298.9,309.1,1452.0,45.5,196.0,298.9,309.0,1924.0,22.6,193.0,298.9,299.3598726171122
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,M01,2025-01-04 01:00:00,298.9,309.1,1369.0,44.4,198.0,298.9,309.1,1452.0,45.5,196.0,298.93333333333334,112.70758625753791
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,M01,2025-01-04 02:00:00,299.0,309.1,1592.0,35.0,200.0,298.9,309.1,1369.0,44.4,198.0,298.93333333333334,131.4242494113384
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,M01,2025-01-04 03:00:00,298.9,309.0,1601.0,32.3,202.0,299.0,309.1,1592.0,35.0,200.0,298.90000000000003,125.65428763078614
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,M01,2025-01-04 04:00:00,298.8,308.9,1379.0,46.7,204.0,298.9,309.0,1601.0,32.3,202.0,298.8333333333333,112.25566058481714
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,M01,2025-01-04 05:00:00,298.8,308.9,1461.0,47.9,206.0,298.8,308.9,1379.0,46.7,204.0,298.8,45.709225910462095
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,M01,2025-01-04 06:00:00,298.8,308.9,1455.0,41.3,208.0,298.8,308.9,1461.0,47.9,206.0,298.8,34.770677301432066
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,M01,2025-01-04 07:00:00,298.8,308.9,1398.0,51.5,0.0,298.8,308.9,1455.0,41.3,208.0,298.8,31.8171861316122
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,M01,2025-01-04 08:00:00,298.8,308.9,1402.0,37.9,2.0,298.8,308.9,1398.0,51.5,0.0,298.8,26.05762844159691
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,M01,2025-01-04 09:00:00,298.8,308.8,1445.0,49.9,4.0,298.8,308.9,1402.0,37.9,2.0,298.8333333333333,26.388128644025795
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,M01,2025-01-04 10:00:00,298.9,308.9,1450.0,47.5,9.0,298.8,308.8,1445.0,49.9,4.0,298.8666666666666,4.041451884367351
84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,M01,2025-01-04 11:00:00,298.9,308.9,1453.0,40.8,11.0,298.9,308.9,1450.0,47.5,9.0,298.93333333333334,10.214368964045567
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,M01,2025-01-04 12:00:00,299.0,309.0,1469.0,40.1,13.0,298.9,308.9,1453.0,40.8,11.0,298.93333333333334,23.89560629070383
86,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,M01,2025-01-04 13:00:00,298.9,308.9,1422.0,47.6,15.0,299.0,309.0,1469.0,40.1,13.0,298.9666666666667,208.3098653448759
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,M01,2025-01-04 14:00:00,299.0,309.0,1804.0,26.8,17.0,298.9,308.9,1422.0,47.6,15.0,298.9666666666667,216.61948204166754
88,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,M01,2025-01-04 15:00:00,299.0,309.0,1436.0,43.9,20.0,299.0,309.0,1804.0,26.8,17.0,299.0,189.15954465300888
89,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,M01,2025-01-04 16:00:00,299.0,309.0,1544.0,31.8,25.0,299.0,309.0,1436.0,43.9,20.0,299.0,67.79626341719485
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,M01,2025-01-04 17:00:00,299.0,309.0,1419.0,45.2,27.0,299.0,309.0,1544.0,31.8,25.0,298.96666666666664,62.58061467686039
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,M01,2025-01-04 18:00:00,298.9,308.9,1487.0,39.5,30.0,299.0,309.0,1419.0,45.2,27.0,298.93333333333334,176.51062290978507
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,M01,2025-01-04 19:00:00,298.9,308.9,1753.0,25.8,33.0,298.9,308.9,1487.0,39.5,30.0,298.9,179.9694418505551
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,M01,2025-01-04 20:00:00,298.9,308.9,1830.0,24.9,35.0,298.9,308.9,1753.0,25.8,33.0,298.9,53.56304696337148
94,L47273,L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,M01,2025-01-04 21:00:00,298.9,308.9,1727.0,27.1,37.0,298.9,308.9,1830.0,24.9,35.0,298.96666666666664,196.52735178595455
95,L47274,L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,M01,2025-01-04 22:00:00,299.1,309.0,1450.0,43.0,40.0,298.9,308.9,1727.0,27.1,37.0,299.0,139.8439606609226
96,M14955,M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,M01,2025-01-04 23:00:00,299.0,308.9,1622.0,31.9,42.0,299.1,309.0,1450.0,43.0,40.0,299.0333333333333,137.12889313829405
97,M14956,M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,M01,2025-01-05 00:00:00,299.0,309.0,1351.0,52.2,44.0,299.0,308.9,1622.0,31.9,42.0,299.0,144.81367338756493
98,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,M01,2025-01-05 01:00:00,299.0,309.0,1575.0,35.3,47.0,299.0,309.0,1351.0,52.2,44.0,298.9666666666667,200.00083333159805
99,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,M01,2025-01-05 02:00:00,298.9,308.9,1750.0,29.9,50.0,299.0,309.0,1575.0,35.3,47.0,298.93333333333334,116.60617479362021
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,M01,2025-01-05 03:00:00,298.9,308.8,1529.0,32.7,53.0,298.9,308.9,1750.0,29.9,50.0,298.8666666666667,129.36125128234363
101,L47280,L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,M01,2025-01-05 04:00:00,298.8,308.8,1523.0,44.4,55.0,298.9,308.8,1529.0,32.7,53.0,298.8333333333333,188.2400949142707
102,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,M01,2025-01-05 05:00:00,298.8,308.9,1852.0,25.0,57.0,298.8,308.8,1523.0,44.4,55.0,298.8,240.3421172689748
103,L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,M01,2025-01-05 06:00:00,298.8,308.8,1991.0,20.7,59.0,298.8,308.9,1852.0,25.0,57.0,298.8,222.72030292125055
104,M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,M01,2025-01-05 07:00:00,298.8,308.8,1555.0,40.6,61.0,298.8,308.8,1991.0,20.7,59.0,298.8,290.28491750921813
105,L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,M01,2025-01-05 08:00:00,298.8,308.8,1441.0,40.5,63.0,298.8,308.8,1555.0,40.6,61.0,298.8,63.37980750996513
106,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,M01,2025-01-05 09:00:00,298.8,308.7,1450.0,43.4,66.0,298.8,308.8,1441.0,40.5,63.0,298.8,84.12490713219381
107,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,M01,2025-01-05 10:00:00,298.8,308.7,1591.0,31.1,68.0,298.8,308.7,1450.0,43.4,66.0,298.8,82.88747392298527
108,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,M01,2025-01-05 11:00:00,298.8,308.7,1445.0,48.5,70.0,298.8,308.7,1591.0,31.1,68.0,298.8,74.00000000000158
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,M01,2025-01-05 12:00:00,298.8,308.8,1497.0,46.8,72.0,298.8,308.7,1445.0,48.5,70.0,298.8333333333333,90.42123644365981
110,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,M01,2025-01-05 13:00:00,298.9,308.8,1621.0,32.7,75.0,298.8,308.8,1497.0,46.8,72.0,298.8666666666667,62.45264872952601
111,L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,M01,2025-01-05 14:00:00,298.9,308.7,1572.0,34.1,80.0,298.9,308.8,1621.0,32.7,75.0,298.8666666666666,160.93580500725616
112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,M01,2025-01-05 15:00:00,298.8,308.6,1872.0,22.5,82.0,298.9,308.7,1572.0,34.1,80.0,298.8,197.6773465355441
113,M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,M01,2025-01-05 16:00:00,298.7,308.6,1499.0,43.5,84.0,298.8,308.6,1872.0,22.5,82.0,298.76666666666665,215.64090521049167
114,M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,M01,2025-01-05 17:00:00,298.8,308.7,1498.0,39.5,89.0,298.7,308.6,1499.0,43.5,84.0,298.7666666666667,7.234178138087803
115,L47294,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,M01,2025-01-05 18:00:00,298.8,308.6,1486.0,41.9,92.0,298.8,308.7,1498.0,39.5,89.0,298.8,108.70755876816285
116,L47295,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,M01,2025-01-05 19:00:00,298.8,308.6,1680.0,29.4,95.0,298.8,308.6,1486.0,41.9,92.0,298.8,130.80647282659055
117,L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,M01,2025-01-05 20:00:00,298.8,308.6,1431.0,45.7,97.0,298.8,308.6,1680.0,29.4,95.0,298.8333333333333,124.59668267387208
118,L47297,L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,M01,2025-01-05 21:00:00,298.9,308.7,1564.0,34.1,99.0,298.8,308.6,1431.0,45.7,97.0,298.8333333333333,88.63595959504006
119,M14978,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,M01,2025-01-05 22:00:00,298.8,308.6,1599.0,33.0,101.0,298.9,308.7,1564.0,34.1,99.0,298.8333333333333,74.54081655934274
120,L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,M01,2025-01-05 23:00:00,298.8,308.6,1707.0,28.1,103.0,298.8,308.6,1599.0,33.0,101.0,298.76666666666665,120.19983361053481
121,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,M01,2025-01-06 00:00:00,298.7,308.5,1467.0,40.7,106.0,298.8,308.6,1707.0,28.1,103.0,298.8,149.3497014839119
122,L47301,L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,M01,2025-01-06 01:00:00,298.9,308.7,1433.0,44.7,108.0,298.7,308.5,1467.0,40.7,106.0,298.8333333333333,64.62971452822818
123,L47302,L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,M01,2025-01-06 02:00:00,298.9,308.7,1558.0,41.2,110.0,298.9,308.7,1433.0,44.7,108.0,298.93333333333334,124.00134407873816
124,L47303,L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,M01,2025-01-06 03:00:00,299.0,308.8,1310.0,50.7,112.0,298.9,308.7,1558.0,41.2,110.0,298.93333333333334,139.84753602882537
125,L47304,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,M01,2025-01-06 04:00:00,298.9,308.7,1546.0,43.4,114.0,299.0,308.8,1310.0,50.7,112.0,298.93333333333334,209.103642563523
126,L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,M01,2025-01-06 05:00:00,298.9,308.7,1727.0,29.4,116.0,298.9,308.7,1546.0,43.4,114.0,298.9,100.70253224224427
